Year,Number of Australian-born (M),Number of overseas-born (M)
1990,13.18,3.89
1991,13.32,3.97
1992,13.45,4.03
1993,13.58,4.05
1994,13.72,4.09
1995,13.85,4.15
1996,13.98,4.24
1997,14.13,4.29
1998,14.3,4.31
1999,14.47,4.35
2000,14.64,4.39
2001,14.82,4.45
2002,14.94,4.55
2003,15.07,4.66
2004,15.18,4.75
2005,15.3,4.88
2006,15.42,5.03
2007,15.59,5.23
2008,15.77,5.48
2009,15.96,5.73
2010,16.15,5.88
2011,16.32,6.02
2012,16.52,6.21
2013,16.72,6.41
2014,16.91,6.57
2015,17.09,6.73
2016,17.28,6.91
2017,17.45,7.14
2018,17.62,7.35
2019,17.79,7.55
2020,17.98,7.67
2021,18.16,7.53
2022,18.33,7.68
2023,18.47,8.18
